Lng,Lat,DOM,followers,totalPrice,square,kitchen,bathRoom,floor,constructionTime
116.400524,39.958938,1.0,20,215.0,43.79,1,1,14,1989
116.434144,39.892211,69.0,20,479.0,47.56,1,1,6,1993
116.416214,39.906904,1.0,17,313.0,57.76,1,1,16,1979
116.411858,39.869364,1.0,0,190.0,90.65,1,1,12,2009
116.448623,39.945062,84.0,58,830.0,82.04,1,1,22,2007
116.417991,39.956806,13.0,64,888.0,100.02,1,1,20,1994
116.455654,39.898084,100.0,48,427.0,50.36,1,1,28,2009
116.446478,39.936531,4.0,1,515.0,55.42,1,1,6,1994
116.453086,39.898397,1.0,1,251.0,61.93,1,1,23,2009
116.435195,39.919148,1.0,3,225.0,44.32,1,1,6,1992
116.420099,39.901616,98.0,93,235.0,30.4,1,1,7,2004
116.411885,39.87098,25.0,38,627.0,106.0,1,1,11,2002
116.41695,39.953993,9.0,21,505.0,45.0,1,1,7,2002
116.437956,39.926419,151.0,158,695.0,74.95,1,1,16,2003
116.411368,39.929449,55.0,84,550.0,54.08,1,1,5,1985
116.420099,39.901616,4.0,54,327.0,29.4,1,1,7,2004
116.426265,39.949747,1.0,11,380.0,54.23,1,1,5,1988
116.404199,39.954132,77.0,66,617.0,59.15,1,1,6,1985
116.430723,39.888924,20.0,34,450.0,47.56,1,1,6,1990
116.407868,39.95802,1.0,27,315.0,60.25,1,1,6,1990
116.442114,39.951182,1.0,0,378.0,80.72,1,1,18,1995
116.426912,39.960779,2.0,0,465.0,40.98,1,1,6,1996
116.435611,39.948432,6.0,20,500.0,60.5,1,1,13,2002
116.411858,39.869364,1.0,25,272.0,71.29,1,1,12,2009
116.427853,39.966824,1.0,0,248.0,54.31,1,1,5,1981
116.432142,39.902354,63.0,9,520.0,59.65,1,1,12,2005
116.416543,39.869811,1.0,47,702.0,150.6,1,2,6,2006
116.426814,39.911701,1.0,7,285.0,54.79,1,1,5,1990
116.415072,39.968084,1.0,20,270.0,56.59,1,1,5,1986
116.427853,39.966824,1.0,0,230.0,45.83,1,1,6,1995
116.445751,39.903761,66.0,26,510.0,73.0,1,1,11,2007
116.4084,39.952188,1.0,0,458.0,98.79,1,1,2,1965
116.402772,39.959887,1.0,3,480.0,70.66,1,1,14,1996
116.445042,39.894679,19.0,14,555.0,62.71,1,1,18,2002
116.435937,39.931833,63.0,28,1098.0,124.95,1,2,6,1998
116.432764,39.932355,41.0,44,1175.0,81.8,1,1,4,2003
116.43345,39.944246,11.0,22,930.0,84.16,1,1,18,1998
116.429768,39.898926,58.0,38,1036.0,93.37,1,1,14,2004
116.411858,39.869364,1.0,27,323.0,78.79,1,1,12,2009
116.43343,39.958449,18.0,33,545.0,55.18,1,1,6,1990
116.437847,39.933684,1.0,0,550.0,71.04,1,1,10,2003
116.446478,39.936531,31.0,11,450.0,46.46,1,1,6,1980
116.428125,39.929202,1.0,2,528.0,77.67,1,1,10,2004
116.434144,39.928568,81.0,95,850.0,91.64,1,1,16,2003
116.416543,39.869811,1.0,5,276.0,63.7,1,1,13,2006
116.421081,39.904828,1.0,15,1380.0,204.51,1,2,10,2004
116.417962,39.949228,36.0,69,481.0,38.42,1,1,6,1988
116.43191,39.919202,3.0,0,470.0,42.26,1,1,6,1990
116.441581,39.953001,1.0,0,500.0,46.0,1,1,6,1995
116.440069,39.902423,1.0,2,370.0,63.18,1,1,11,2003
116.442531,39.89667,1.0,3,420.0,88.06,1,1,16,2008
116.434583,39.931714,30.0,15,905.0,72.98,1,1,5,2003
116.409688,39.958188,1.0,15,540.0,89.31,1,1,19,2006
116.427853,39.966824,1.0,0,255.0,60.11,1,1,5,1986
116.436403,39.931929,1.0,0,1880.0,210.5,1,3,6,1990
116.43349,39.882446,1.0,6,236.0,63.97,1,1,6,1989
116.444518,39.939961,99.0,3,528.0,56.45,1,1,5,1983
116.448524,39.899018,1.0,2,405.0,106.08,1,1,21,2005
116.418248,39.964378,186.0,127,438.0,56.82,1,1,5,1980
116.442354,39.957293,1.0,1,263.0,64.62,1,1,14,1986
116.400737,39.870957,1.0,10,390.0,114.42,1,1,18,1999
116.413838,39.895714,1.0,3,373.0,71.51,1,1,4,2003
116.433451,39.923705,4.0,6,522.0,55.1,1,1,16,2004
116.442354,39.957293,1.0,3,195.0,42.64,1,1,14,1986
116.41524,39.876518,1.0,22,273.0,58.04,1,1,6,1980
116.432142,39.902354,17.0,14,622.0,59.28,1,1,18,2006
116.399108,39.876842,1.0,5,451.0,61.03,1,1,22,2010
116.433451,39.923705,1.0,9,382.0,63.91,1,1,16,2004
116.439746,39.905443,15.0,45,463.0,55.91,1,1,6,1994
116.418248,39.964378,1.0,6,258.0,48.99,1,1,5,1979
116.444673,39.880008,1.0,5,235.0,57.94,1,1,14,2004
116.412478,39.905227,154.0,113,1239.9,189.47,1,2,6,1998
116.420099,39.901616,5.0,22,315.0,28.6,1,1,7,2004
116.400737,39.870957,1.0,0,320.0,107.38,1,1,18,1999
116.444744,39.895252,25.0,22,540.0,61.26,1,1,7,1991
116.432764,39.932355,1.0,2,655.0,67.93,1,1,6,2003
116.435879,39.901966,38.0,8,1260.0,126.0,1,2,17,2004
116.435055,39.941656,1.0,23,493.0,83.93,1,2,8,2003
116.426912,39.960779,26.0,29,408.0,40.98,1,1,6,1996
116.400533,39.962226,7.0,28,650.0,50.34,1,1,6,1980
116.450277,39.950513,59.0,176,473.0,57.26,1,1,17,1991
116.442022,39.893339,49.0,33,446.0,49.87,1,1,5,1978
116.420099,39.901616,1.0,11,166.0,31.5,1,1,7,2004
116.440292,39.901819,1.0,15,228.0,91.59,1,1,4,1960
116.414432,39.977111,9.0,18,462.0,50.0,1,1,20,1995
116.427002,39.962219,22.0,0,618.0,58.5,1,1,6,1996
116.445818,39.945717,1.0,12,348.0,59.94,1,1,6,1986
116.453086,39.898397,121.0,25,450.0,93.0,1,1,23,2009
116.394978,39.963326,13.0,12,450.0,46.87,1,1,17,1990
116.404734,39.960609,1.0,4,350.0,50.38,1,1,6,1990
116.428467,39.902511,1.0,13,418.0,81.07,1,1,17,2004
116.445042,39.894679,1.0,0,186.0,31.36,1,1,12,2002
116.433321,39.906309,91.0,26,500.0,55.8,1,1,14,1980
116.418443,39.866651,5.0,19,340.0,66.1,1,1,6,1984
116.441446,39.943621,251.0,92,449.5,56.4,1,1,18,1991
116.441446,39.943621,4.0,0,650.0,64.02,1,1,18,1991
116.395254,39.872359,38.0,0,425.0,71.0,1,1,19,2001
116.414971,39.934043,2.0,21,660.0,47.3,1,1,10,1988
116.42313,39.922524,13.0,16,470.0,56.78,1,1,9,1990
116.432396,39.951803,1.0,33,633.0,90.38,1,1,10,2003
116.445225,39.888123,2.0,3,400.0,58.94,1,1,5,1965
116.450229,39.946158,1.0,9,282.0,50.96,1,1,21,1992
116.418248,39.964378,1.0,10,540.0,90.03,1,1,5,1979
116.432151,39.905567,111.0,73,830.0,91.07,1,1,16,1999
116.416894,39.894994,3.0,0,645.0,72.0,1,1,6,2002
116.429352,39.904538,1.0,20,1230.0,189.65,1,2,16,2006
116.414971,39.934043,25.0,19,500.0,56.26,1,1,10,1988
116.412788,39.958761,1.0,12,693.0,120.97,1,1,18,1996
116.43343,39.958449,6.0,4,555.0,64.12,1,1,16,1993
116.444857,39.954789,1.0,4,358.0,45.86,1,1,27,2004
116.453086,39.898397,11.0,6,480.0,77.0,1,1,23,2009
116.448623,39.945062,54.0,8,720.0,70.86,1,1,16,2007
116.399108,39.876842,4.0,0,1150.0,91.89,1,1,22,2010
116.45208,39.904622,1.0,1,260.0,63.45,1,1,22,2004
116.432142,39.902354,104.0,63,418.0,31.2,1,1,15,2008
116.42911,39.956494,1.0,9,300.0,60.35,1,1,6,1985
116.441716,39.946158,1.0,13,485.0,113.17,1,1,25,2003
116.411359,39.964549,1.0,11,218.0,43.31,1,1,6,1988
116.429949,39.963187,11.0,13,775.0,84.45,1,1,16,2000
116.426526,39.964952,1.0,27,241.0,38.03,1,1,5,1983
116.399108,39.876842,1.0,3,601.4,91.9,1,1,22,2010
116.4471,39.879796,1.0,7,676.0,113.8,1,1,17,2004
116.402042,39.867879,1.0,25,368.0,87.79,1,2,6,1997
116.429352,39.904538,25.0,5,1450.0,146.76,1,2,12,2006
116.429963,39.963815,1.0,0,550.0,107.41,1,1,21,2006
116.435879,39.901966,63.0,25,468.0,52.18,1,1,17,2004
116.435511,39.946194,31.0,5,627.0,65.07,1,1,16,2003
116.43343,39.958449,1.0,10,334.0,55.39,1,1,6,1982
116.437847,39.933684,70.0,0,1140.0,85.88,1,1,12,2003
116.452901,39.901073,107.0,18,444.0,64.0,1,1,13,2002
116.409047,39.934584,1.0,0,118.0,8.0,0,0,1,2000
116.394978,39.963326,50.0,11,478.0,53.79,1,1,17,1990
116.435236,39.90518,24.0,36,638.0,67.74,1,1,6,1995
116.395254,39.872359,1.0,25,283.8,89.94,1,1,19,2001
116.435611,39.948432,188.0,86,634.0,60.53,1,1,11,2002
116.431111,39.892729,27.0,11,430.0,72.34,1,1,6,1990
116.443355,39.90268,1.0,7,490.0,72.25,1,1,11,2003
116.442022,39.893339,33.0,12,510.0,51.07,1,1,5,1980
116.423426,39.964365,4.0,5,498.0,53.53,1,1,5,1989
116.448524,39.899018,1.0,3,378.0,104.99,1,1,21,2005
116.438785,39.900278,58.0,37,545.0,64.76,1,1,16,2002
116.425446,39.954872,1.0,4,326.0,50.61,1,1,8,1989
116.432142,39.902354,71.0,32,620.0,60.77,1,1,12,2004
116.439371,39.896367,3.0,0,739.0,70.72,1,1,16,1999
116.446448,39.948327,1.0,6,380.0,79.4,1,1,12,1992
116.421118,39.870943,122.0,25,410.0,53.81,1,1,9,1994
116.414991,39.965726,153.0,146,512.0,55.15,1,1,6,1990
116.400766,39.875202,1.0,1,419.0,86.87,1,1,22,1999
116.407868,39.95802,26.0,21,388.0,45.18,1,1,6,1990
116.400533,39.962226,45.0,35,521.0,36.56,1,1,5,1980
116.436201,39.926105,1.0,0,300.0,50.42,1,1,6,2002
116.434565,39.919951,1.0,22,302.0,57.77,1,1,6,1989
116.443175,39.941889,16.0,9,1150.0,134.72,1,2,9,1999
116.432142,39.902354,9.0,16,1070.0,96.24,1,1,13,2006
116.417203,39.966191,68.0,126,800.0,90.88,1,1,6,2006
116.438272,39.91638,256.0,30,2800.0,352.07,1,3,22,2002
116.429768,39.898926,71.0,5,1155.0,114.55,1,2,13,2007
116.417021,39.97634,1.0,0,370.0,148.97,1,2,14,1996
116.411331,39.92122,8.0,0,608.0,59.43,1,1,6,1988
116.437956,39.926419,45.0,88,705.0,74.95,1,1,16,2003
116.447331,39.941506,1.0,8,920.0,175.48,1,2,24,2000
116.43868,39.941436,88.0,40,1048.0,171.2,1,2,22,2001
116.435,39.963418,14.0,10,458.0,56.0,1,1,4,1988
116.437599,39.930061,3.0,11,1085.0,88.25,1,1,15,2009
116.404199,39.954132,5.0,18,670.0,60.43,1,1,6,1985
116.443702,39.900208,1.0,15,292.0,66.32,1,1,18,2005
116.417991,39.956806,1.0,1,320.0,66.33,1,1,16,1994
116.427002,39.962219,1.0,6,255.0,46.13,1,1,6,1996
116.445818,39.945717,1.0,3,456.0,59.43,1,1,5,1986
116.412788,39.958761,16.0,52,1096.0,102.75,1,1,11,2012
116.435132,39.92546,1.0,13,435.0,76.96,1,1,16,2003
116.413053,39.962564,172.0,62,327.5,46.34,1,1,18,1988
116.453086,39.898397,1.0,0,257.0,65.18,1,1,23,2009
116.45208,39.904622,5.0,0,630.0,63.6,1,1,22,2004
116.413838,39.895714,1.0,43,398.0,61.76,1,1,6,2002
116.453086,39.898397,1.0,1,300.0,65.18,1,1,23,2009
116.432142,39.902354,90.0,17,760.0,81.27,1,1,18,2006
116.413053,39.962564,223.0,347,468.0,77.36,1,1,6,1992
116.400524,39.958938,1.0,5,309.0,59.32,1,1,12,1989
116.394978,39.963326,1.0,7,475.0,80.86,1,1,17,1990
116.420099,39.901616,6.0,30,243.0,21.24,1,1,7,2004
116.437281,39.918733,64.0,36,307.0,42.46,1,1,6,1990
116.412213,39.926288,22.0,20,666.0,80.37,1,1,6,1987
116.421081,39.904828,108.0,25,1370.0,156.16,1,2,15,2004
116.418443,39.866651,1.0,126,190.0,50.46,1,1,6,1982
116.414452,39.866869,81.0,347,345.0,49.28,1,1,6,1990
116.428467,39.902511,1.0,1,285.0,56.92,1,1,16,2004
116.435511,39.946194,7.0,28,798.0,65.09,1,1,16,2002
116.421263,39.946757,1.0,0,412.0,53.67,1,1,11,2003
116.429768,39.898926,100.0,35,1150.0,125.67,1,2,14,2004
116.413053,39.962564,22.0,90,706.0,59.1,1,1,6,1990
116.411885,39.87098,7.0,14,800.0,151.93,1,2,11,2002
116.417991,39.956806,1.0,19,395.0,67.57,1,1,9,1985
116.40952,39.874629,1.0,0,200.0,35.28,1,1,5,1970
116.432142,39.902354,88.0,51,694.5,75.56,1,1,13,2006
116.438785,39.900278,1.0,0,218.0,76.46,1,1,18,2002
116.429949,39.963187,1.0,4,265.0,47.75,1,1,18,1993
116.429352,39.904538,8.0,13,753.0,91.37,1,1,16,2006
116.411885,39.87098,1.0,25,460.0,119.86,1,1,11,2002
116.440746,39.920826,257.0,109,520.0,58.05,1,1,17,1990
116.435236,39.90518,1.0,62,420.0,67.77,1,1,6,1995
116.419091,39.967777,32.0,36,468.0,50.09,1,1,6,1990
116.41545,39.97708,1.0,6,451.0,65.82,1,1,6,1996
116.441929,39.934083,91.0,49,438.0,64.12,1,1,16,1987
116.434147,39.953592,1.0,54,491.5,58.28,1,1,6,1990
116.444673,39.880008,1.0,22,620.0,127.01,1,2,16,2004
116.432755,39.916762,217.0,15,1000.0,105.21,1,1,24,2012
116.417993,39.970747,1.0,1,228.0,58.53,1,1,6,1994
116.415072,39.968084,1.0,2,190.0,61.11,1,1,14,1988
116.435055,39.941656,1.0,12,600.0,64.83,1,1,7,2002
116.409988,39.952769,29.0,56,712.0,61.05,1,1,5,1992
116.429248,39.940483,21.0,0,150.0,10.7,0,0,1,1988
116.418443,39.866651,1.0,141,190.0,53.43,1,1,6,1975
116.455654,39.898084,1.0,0,319.0,71.27,1,1,29,2009
116.441581,39.953001,10.0,0,430.0,45.61,1,1,6,1995
116.446448,39.948327,1.0,7,240.0,49.33,1,1,12,1992
116.434144,39.928568,46.0,64,578.0,68.36,1,1,9,2003
116.438026,39.898854,147.0,52,880.0,86.88,1,1,18,2003
116.432388,39.95399,128.0,86,729.0,80.74,1,1,13,2003
116.435055,39.941656,139.0,67,755.0,94.84,1,1,8,2003
116.452901,39.901073,1.0,13,678.0,131.9,1,1,22,2002
116.429963,39.963815,44.0,66,920.0,80.57,1,1,20,2006
116.435055,39.941656,1.0,5,420.0,64.45,1,1,9,2003
116.421182,39.934081,105.0,4,230.0,16.2,0,0,1,1980
116.414971,39.934043,4.0,27,640.0,56.26,1,1,10,1988
116.402567,39.869745,52.0,44,350.0,85.06,1,1,16,1999
116.443702,39.900208,20.0,10,371.0,50.86,1,1,18,2005
116.429963,39.963815,1.0,17,669.0,82.95,1,1,20,2006
116.41696,39.953572,11.0,6,665.0,68.8,1,1,5,1982
116.413053,39.962564,1.0,1,200.0,50.5,1,1,6,1992
116.437676,39.950331,17.0,33,680.0,56.47,1,1,6,2002
116.443376,39.899224,1.0,1,300.0,45.82,1,1,18,2006
116.412788,39.958761,23.0,7,1000.0,120.97,1,1,18,1996
116.427002,39.962219,37.0,79,488.0,45.37,1,1,6,1996
116.434565,39.919951,147.0,70,659.0,59.96,1,1,6,1990
116.437852,39.941438,1.0,50,535.0,88.45,1,1,23,2003
116.419045,39.868693,1.0,1,198.0,61.24,1,1,6,1985
116.435611,39.948432,5.0,38,1088.0,98.42,1,1,14,2002
116.441654,39.912197,137.0,16,800.0,82.26,1,1,14,1989
116.421263,39.946757,40.0,134,982.8,74.75,1,1,11,2003
116.433451,39.923705,1.0,6,370.0,69.86,1,1,8,2004
116.45208,39.904622,15.0,7,446.0,60.57,1,1,22,2004
116.432142,39.902354,170.0,90,711.7,79.18,1,1,16,2004
116.414356,39.869475,1.0,9,298.0,79.0,1,1,13,2005
116.418443,39.866651,1.0,21,180.0,55.77,1,1,6,1980
116.434565,39.919951,5.0,10,476.0,57.77,1,1,6,1989
116.416543,39.869811,1.0,0,170.0,42.19,1,1,11,2005
116.428467,39.902511,7.0,22,621.5,73.4,1,1,18,2004
116.448783,39.894213,1.0,0,344.0,66.54,1,1,20,2004
116.429102,39.950473,1.0,7,495.0,68.95,1,1,5,1982
116.427206,39.883008,1.0,137,158.0,33.06,1,1,5,1980
116.42911,39.956494,1.0,2,430.0,71.37,1,1,16,1992
116.420099,39.901616,44.0,23,302.0,28.48,1,1,7,2004
116.4515,39.904606,1.0,2,470.0,68.62,1,1,21,2003
116.439876,39.920841,14.0,3,930.0,148.51,1,1,18,2005
116.420099,39.901616,14.0,46,483.0,53.31,1,1,6,2003
116.442114,39.951182,1.0,3,319.0,61.11,1,1,14,1990
116.411805,39.9236,64.0,0,480.0,41.99,1,1,6,1987
116.426526,39.964952,2.0,0,720.0,64.36,1,1,11,1990
116.432151,39.905567,1.0,2,580.0,85.39,1,1,16,1999
116.446478,39.936531,13.0,35,480.0,52.21,1,1,6,1994
116.430723,39.888924,39.0,19,519.0,68.56,1,1,6,1990
116.418443,39.866651,1.0,94,145.0,42.59,1,1,6,1982
116.433321,39.906309,1.0,1,228.0,43.84,1,1,12,1980
116.411111,39.952776,317.0,256,2350.0,311.87,1,4,6,2003
116.434007,39.946351,35.0,0,615.0,64.89,1,1,6,2003
116.444619,39.881579,1.0,0,580.0,98.04,1,2,16,2007
116.416543,39.869811,13.0,49,330.0,43.0,1,1,11,2006
116.437841,39.948704,14.0,26,600.0,52.94,1,1,6,2002
116.432835,39.957774,1.0,0,381.0,63.29,1,1,19,2003
116.421118,39.870943,172.0,44,350.0,51.28,1,1,6,1994
116.427002,39.962219,19.0,0,514.0,44.0,1,1,6,1996
116.439746,39.905443,11.0,25,465.0,64.06,1,1,6,1994
116.421263,39.946757,1.0,2,568.0,72.47,1,1,11,2003
116.445042,39.894679,18.0,10,402.0,34.95,1,1,12,2002
116.431111,39.892729,16.0,27,298.0,41.2,1,1,6,1990
116.433451,39.923705,1.0,12,450.0,84.7,1,1,16,2004
116.418443,39.866651,1.0,8,209.0,55.9,1,1,6,1983
116.422866,39.96664,1.0,39,364.0,68.7,1,1,5,1988
116.4515,39.904606,46.0,59,470.0,63.74,1,1,21,2005
116.443376,39.899224,1.0,56,280.0,51.61,1,1,18,2006
116.440513,39.893796,12.0,34,450.0,49.72,1,1,4,1970
116.399108,39.876842,7.0,9,656.0,61.49,1,1,22,2010
116.434147,39.953592,1.0,34,505.0,58.28,1,1,6,1985
116.424796,39.956911,83.0,107,700.0,104.98,0,2,6,2005
116.438112,39.949359,4.0,3,545.0,57.14,1,1,16,2002
116.41148,39.94551,1.0,33,508.0,82.81,1,1,3,1991
116.435055,39.941656,122.0,58,472.0,49.0,1,1,7,2002
116.434144,39.928568,1.0,3,430.0,57.86,1,1,16,2003
116.420099,39.901616,15.0,13,220.0,29.76,1,1,7,2004
116.437599,39.930061,49.0,51,960.0,87.66,1,1,15,2009
116.449846,39.935249,163.0,36,570.0,104.0,1,2,17,2013
116.404558,39.96157,22.0,22,1250.0,104.84,1,1,10,2003
116.448783,39.894213,139.0,91,1045.0,110.79,1,1,24,2008
116.423696,39.904185,57.0,37,380.0,96.0,1,1,16,1996
116.422213,39.968073,2.0,14,500.0,64.17,1,1,6,1996
116.434391,39.919211,1.0,6,313.0,57.65,1,1,6,1988
116.429908,39.893326,1.0,22,387.0,59.46,1,1,6,1990
116.453086,39.898397,1.0,8,385.0,79.39,0,0,23,2009
116.400533,39.962226,15.0,14,733.0,50.34,1,1,6,1980
116.433451,39.923705,183.0,69,660.0,55.1,1,1,16,2004
116.430723,39.888924,1.0,23,234.0,76.12,1,1,6,1990
116.409289,39.88201,1.0,9,300.0,71.89,1,1,6,2001
116.411885,39.87098,1.0,5,335.0,112.77,1,1,11,2002
116.439371,39.896367,2.0,3,590.0,75.3,1,1,16,1999
116.434254,39.935275,1.0,3,705.0,80.63,1,1,6,2003
116.446448,39.948327,12.0,53,331.0,49.33,1,1,12,1992
116.417991,39.956806,7.0,0,500.0,47.6,1,1,11,1985
116.437705,39.898038,110.0,0,935.0,89.99,1,1,18,2005
116.450277,39.950513,37.0,63,380.0,38.07,1,1,20,1992
116.400533,39.962226,19.0,47,660.0,50.42,1,1,6,1980
116.421263,39.946757,1.0,3,350.0,52.34,1,1,11,2002
116.443702,39.900208,4.0,0,458.0,46.93,1,1,18,2005
116.442531,39.89667,115.0,22,445.0,60.49,1,1,16,2008
116.440069,39.902423,1.0,3,895.0,127.28,1,2,9,2003
116.447756,39.896508,1.0,27,220.0,52.04,1,1,6,2004
116.437847,39.933684,22.0,37,712.0,48.23,1,1,10,2003
116.448783,39.894213,1.0,5,220.0,37.27,1,1,24,2008
116.435055,39.941656,121.0,53,615.0,60.54,1,1,8,2003
116.414356,39.869475,5.0,11,505.0,87.62,1,1,10,2005
116.417991,39.956806,64.0,63,385.0,39.29,1,1,9,1985
116.434565,39.919951,1.0,20,575.0,77.99,1,1,6,1989
116.420099,39.901616,1.0,0,142.0,29.22,1,1,7,2004
116.411858,39.869364,1.0,7,233.0,71.65,1,1,12,2009
116.449756,39.934586,48.0,198,546.0,61.95,1,1,5,1992
116.400105,39.869503,14.0,11,626.0,114.82,1,1,18,2000
116.434144,39.928568,49.0,210,481.0,55.47,1,1,6,2003
116.437847,39.933684,6.0,11,580.0,48.04,1,1,10,2003
116.439746,39.905443,107.0,42,983.0,95.33,1,1,6,1994
116.432755,39.953692,1.0,0,630.0,57.04,1,1,5,1988
116.409289,39.88201,57.0,70,480.0,68.31,1,1,6,1979
116.45209,39.906053,140.0,37,800.0,119.14,1,2,22,2013
